Country Name,1960,1960 Male,1960 Female,1970,1970 Male,1970 Female,1980,1980 Male,1980 Female,1990,1990 Male,1990 Female,2000,2000 Male,2000 Female,2010,2010 Male,2010 Female,2020,2020 Male,2020 Female,2022,2022 Male,2022 Female
Aruba,54608,26834,27773,59106,29044,30063,62267,30358,31909,65712,32231,33480,89101,42833,46269,100341,47858,52484,106585,50211,56373,106445,50173,56272
Afghanistan,8622466,4476521,4145945,10752971,5513404,5239568,12486631,6349775,6136856,10694796,5348387,5346409,19542982,9815442,9727541,28189672,14240377,13949295,38972230,19692301,19279930,41128771,20766442,20362329
Angola,5357195,2686966,2670229,6029700,3076353,2953347,8330047,4165901,4164145,11828638,5837431,5991207,16394062,8054751,8339311,23364185,11510656,11853530,33428486,16517497,16910989,35588987,17590767,17998220
Albania,1608800,823752,785048,2135479,1103177,1032302,2671997,1385442,1286555,3286542,1672564,1613977,3089027,1531486,1557540,2913021,1458913,1454108,2837849,1419264,1418585,2777689,1385573,1392115
Andorra,9443,4773,4670,19860,10463,9398,35611,19052,16559,53569,28390,25179,66097,34285,31812,71519,36307,35212,77700,39615,38084,79824,40786,39038
United Arab Emirates,133426,81077,52349,298084,200546,97538,1014048,714328,299721,1900151,1271462,628689,3275333,2237588,1037745,8481771,6174991,2306780,9287289,6475368,2811921,9441129,6547744,2893385
Argentina,20349744,10191482,10158262,23842803,11837757,12005045,28024803,13804052,14220750,32637657,16063515,16574141,37070774,18280746,18790028,40788453,20154486,20633966,45376763,22465694,22911069,46234830,22889298,23345532
Armenia,1904148,924630,979519,2534377,1236284,1298093,3135123,1512273,1622851,3556539,1719168,1837371,3168523,1496293,1672231,2946293,1359071,1587223,2805608,1265512,1540097,2780469,1250079,1530390
American Samoa,20085,10314,9771,27075,13790,13284,32886,16793,16093,47818,24538,23281,58230,29657,28572,54849,27660,27189,46189,22921,23268,44273,21873,22399
Antigua and Barbuda,55342,26377,28965,64517,30515,34003,64889,30433,34456,63328,30494,32834,75055,35307,39748,85695,40597,45097,92664,44236,48428,93763,44782,48981
Australia,10276477,5191737,5084739,12507000,6288760,6218241,14692000,7335839,7356160,17065128,8510043,8555086,19028802,9443035,9585767,22031750,10967548,11064202,25649248,12727887,12921360,26005540,12913005,13092536
Austria,7047539,3282698,3764841,7467086,3517940,3949146,7549433,3567006,3982428,7677850,3675149,4002701,8011566,3874820,4136746,8363404,4072621,4290783,8916864,4387322,4529542,9041851,4451539,4590312
Azerbaijan,3894500,1848521,2045979,5172050,2495089,2676961,6160500,2965614,3194886,7175200,3460922,3714277,8048600,3868986,4179613,9054332,4436811,4617522,10093121,4982975,5110146,10141756,5004112,5137643
Burundi,2746628,1327479,1419148,3497834,1705319,1792516,4312834,2111101,2201733,5483793,2696792,2787001,6307659,3105481,3202178,9126605,4516033,4610573,12220227,6066599,6153627,12889576,6400926,6488650
Belgium,9153489,4485957,4667532,9655549,4724981,4930568,9859242,4817674,5041568,9967379,4871740,5095639,10251250,5012963,5238286,10895586,5341400,5554185,11538604,5695855,5842749,11685814,5774066,5911748
Benin,2512284,1196813,1315471,3023443,1464613,1558830,3833939,1876734,1957205,5133419,2524606,2608813,6998023,3468525,3529498,9445710,4707267,4738442,12643123,6330776,6312347,13352864,6689295,6663569
Burkina Faso,4783259,2435126,2348133,5611666,2790452,2821215,6932967,3404945,3528021,9131361,4490875,4640485,11882888,5850935,6031953,16116845,7999494,8117350,21522626,10718602,10804024,22673762,11299155,11374607
Bangladesh,50396429,26157018,24239411,67541860,34998362,32543499,83929765,43009114,40920651,107147651,54881321,52266330,129193327,65883360,63309967,148391139,74213622,74177517,167420951,83063714,84357236,171186372,84859213,86327159
Bulgaria,7867374,3870000,3997374,8489574,4195535,4294039,8861535,4365707,4495829,8718289,4252523,4465765,8170172,3936609,4233564,7395599,3576521,3819078,6934015,3363373,3570641,6465097,3135133,3329964
Bahrain,160691,89472,71219,222555,122546,100010,362595,213247,149348,517418,302861,214558,711442,419570,291872,1213645,754000,459645,1477469,920430,557039,1472233,912199,560034
"Bahamas, The",114500,55880,58620,179129,89611,89517,223752,112252,111501,270679,133065,137614,325014,158879,166136,373272,180438,192834,406471,194506,211965,409984,195817,214167
Bosnia and Herzegovina,3262539,1576206,1686332,3815561,1856294,1959266,4199820,2075489,2124331,4494310,2227391,2266919,4179350,2038674,2140676,3811088,1859263,1951825,3318407,1632854,1685553,3233526,1591814,1641713
Belarus,8198000,3665385,4532615,9040000,4166744,4873256,9643000,4482745,5160255,10189348,4764579,5424768,9979610,4648837,5330773,9483836,4393551,5090285,9379952,4327916,5052036,9228071,4248965,4979107
Belize,91403,45294,46109,120905,60672,60233,145133,74094,71040,182589,92420,90169,240406,121540,118866,322106,161229,160877,394921,198810,196111,405272,203747,201525
Bermuda,44400,22555,21845,55000,28193,26807,54670,27184,27486,59326,29261,30064,61833,30126,31707,65124,31673,33451,63893,30872,33021,63532,30615,32917
Bolivia,3707515,1828792,1878723,4585693,2270363,2315329,5736088,2855272,2880816,7096194,3549041,3547153,8592656,4339846,4252810,10223270,5151373,5071897,11936162,5992275,5943886,12224110,6126364,6097747
Brazil,73092515,36658093,36434422,96369875,48120365,48249510,122288383,60900921,61387462,150706446,74926452,75779994,175873720,87124330,88749390,196353492,96806825,99546667,213196304,104779288,108417015,215313498,105733027,109580471
Barbados,232550,109356,123195,241397,116876,124520,253575,123576,129999,258868,124496,134373,264657,126860,137797,274711,131042,143669,280693,134528,146165,281635,135084,146550
Brunei Darussalam,85346,45197,40150,133343,72073,61270,187921,102013,85907,261928,140191,121736,333926,175917,158010,396053,206007,190046,441725,228677,213048,449002,232205,216797
Bhutan,221266,114342,106924,298894,155928,142967,415257,217530,197727,558442,290974,267469,587207,305835,281372,705516,375519,329998,772506,409408,363099,782455,413930,368525
Botswana,512865,245526,267339,592244,270824,321420,938578,452548,486031,1341474,644872,696601,1726985,837941,889044,2091664,1027633,1064032,2546402,1256708,1289694,2630296,1298807,1331489
Central African Republic,1679728,829819,849909,2067356,1023755,1043601,2415276,1208112,1207163,2809221,1423331,1385890,3759170,1890780,1868390,4660067,2337512,2322555,5343020,2672080,2670940,5579144,2788352,2790791
